epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,788.617,0.96686,0.61424,0.85855,0.48008,0.14815,0.17096,0.11503,0.97304,1.28249,0.96037,0.000201253,0.000201253,0.000201253
42,806.614,0.84277,0.56077,0.86801,0.48008,0.14815,0.17096,0.11503,0.97304,1.28249,0.96037,0.000202903,0.000202903,0.000202903
43,824.922,0.94852,0.67365,0.865,0.47076,0.14919,0.16722,0.11323,0.99677,1.32096,0.96531,0.000204388,0.000204388,0.000204388
44,844.188,0.87446,0.54979,0.85862,0.47076,0.14919,0.16722,0.11323,0.99677,1.32096,0.96531,0.000205709,0.000205709,0.000205709
45,862.258,0.91819,0.58214,0.87201,0.40455,0.31746,0.31367,0.18287,0.98234,1.40226,0.981,0.000206864,0.000206864,0.000206864
46,879.992,0.93521,0.56883,0.85482,0.40455,0.31746,0.31367,0.18287,0.98234,1.40226,0.981,0.000207854,0.000207854,0.000207854
47,898.433,0.83074,0.58358,0.86816,0.43292,0.31481,0.30719,0.1968,0.95451,1.56754,0.96883,0.00020868,0.00020868,0.00020868
48,916.498,0.96553,0.58299,0.85541,0.43292,0.31481,0.30719,0.1968,0.95451,1.56754,0.96883,0.00020934,0.00020934,0.00020934
49,935.667,0.89554,0.53341,0.84805,0.44611,0.31746,0.29999,0.19158,0.9444,1.61822,0.94777,0.000209836,0.000209836,0.000209836
50,954.723,0.9555,0.61907,0.85169,0.44611,0.31746,0.29999,0.19158,0.9444,1.61822,0.94777,0.000210167,0.000210167,0.000210167
51,972.816,0.85282,0.64905,0.87063,0.44388,0.30159,0.29546,0.21771,0.97229,1.63318,0.94886,0.000210332,0.000210332,0.000210332
52,991.638,1.01575,0.62194,0.84737,0.44388,0.30159,0.29546,0.21771,0.97229,1.63318,0.94886,0.000210333,0.000210333,0.000210333
53,1009.59,0.78638,0.4835,0.84934,0.44388,0.30159,0.29546,0.21771,0.97229,1.63318,0.94886,0.000210169,0.000210169,0.000210169
